period,metric,value,budget
2024-01,Net Revenue,4024377.37,3958400.64
2024-02,Net Revenue,4211475.44,4188225.91
2024-03,Net Revenue,4107189.9,4218308.27
2024-04,Net Revenue,4364151.5,4339255.55
2024-05,Net Revenue,4375682.68,4339814.46
2024-06,Net Revenue,4428517.64,4385824.59
2024-07,Net Revenue,4302453.88,4345214.56
2024-08,Net Revenue,4279273.68,4203201.48
2024-09,Net Revenue,4241021.4,4169604.09
2024-10,Net Revenue,4304989.33,4228548.63
2024-11,Net Revenue,4295677.25,4282259.29
2024-12,Net Revenue,4555555.71,4439955.45
2025-01,Net Revenue,4576038.88,4599325.5
2025-02,Net Revenue,4838710.73,4805236.08
2025-03,Net Revenue,4375722.87,4952949.68
2025-04,Net Revenue,4923790.63,5002514.35
2025-05,Net Revenue,4999029.46,5009672.08
2025-06,Net Revenue,5083586.41,5078414.71
2025-07,Net Revenue,4946731.65,4916375.54
2025-08,Net Revenue,4811420.24,4923916.52
2025-09,Net Revenue,4930077.54,4884250.67
2025-10,Net Revenue,4816759.92,4893070.29
2025-11,Net Revenue,4986763.86,4986033.35
2025-12,Net Revenue,5220598.88,5142642.96
2024-01,Gross Profit,2652955.26,2601757.06
2024-02,Gross Profit,2720372.48,2714005.72
2024-03,Gross Profit,2656633.23,2769195.2
2024-04,Gross Profit,2789537.0,2811387.26
2024-05,Gross Profit,2821665.15,2887683.1
2024-06,Gross Profit,2755306.45,2856174.43
2024-07,Gross Profit,2651903.72,2783553.64
2024-08,Gross Profit,2769216.27,2771915.9
2024-09,Gross Profit,2794870.08,2758192.12
2024-10,Gross Profit,2721160.46,2737215.19
2024-11,Gross Profit,2874687.6,2797190.54
2024-12,Gross Profit,2779818.87,2857680.66
2025-01,Gross Profit,2917371.84,3015041.47
2025-02,Gross Profit,3125327.72,3133518.84
2025-03,Gross Profit,3164518.74,3210689.02
2025-04,Gross Profit,3326178.15,3254803.52
2025-05,Gross Profit,3327990.87,3261271.99
2025-06,Gross Profit,3228567.04,3251658.19
2025-07,Gross Profit,3107104.3,3238413.75
2025-08,Gross Profit,3135078.83,3180255.11
2025-09,Gross Profit,3203152.58,3171711.95
2025-10,Gross Profit,3236469.49,3170003.84
2025-11,Gross Profit,3192783.13,3231271.65
2025-12,Gross Profit,3166429.44,3286995.46
2024-01,Operating Expenses,1752382.81,1782049.56
2024-02,Operating Expenses,1847196.08,1815950.7
2024-03,Operating Expenses,1846520.81,1884766.29
2024-04,Operating Expenses,1867018.95,1894285.82
2024-05,Operating Expenses,1855181.77,1886597.75
2024-06,Operating Expenses,1855946.07,1885478.72
2024-07,Operating Expenses,1919879.04,1855532.2
2024-08,Operating Expenses,1900590.19,1888698.66
2024-09,Operating Expenses,1862846.31,1857986.93
2024-10,Operating Expenses,1897882.96,1885114.36
2024-11,Operating Expenses,1924447.34,1915951.94
2024-12,Operating Expenses,2007558.56,1940585.57
2025-01,Operating Expenses,1940066.67,1984160.4
2025-02,Operating Expenses,2025291.18,2043825.99
2025-03,Operating Expenses,2081476.58,2054588.56
2025-04,Operating Expenses,2129650.37,2044499.43
2025-05,Operating Expenses,2053554.11,2060895.6
2025-06,Operating Expenses,2065493.4,2053064.13
2025-07,Operating Expenses,2103992.5,2072983.8
2025-08,Operating Expenses,2012291.45,2052223.5
2025-09,Operating Expenses,2087419.25,2091798.31
2025-10,Operating Expenses,2168581.71,2146068.76
2025-11,Operating Expenses,2125204.78,2086878.62
2025-12,Operating Expenses,2049154.94,2146154.78
2024-01,EBITDA,760978.83,796677.14
2024-02,EBITDA,805644.0,835182.48
2024-03,EBITDA,922458.3,868367.27
2024-04,EBITDA,878295.24,877551.75
2024-05,EBITDA,803460.19,888867.14
2024-06,EBITDA,884817.51,903375.62
2024-07,EBITDA,881592.11,883351.17
2024-08,EBITDA,835438.86,851034.45
2024-09,EBITDA,804892.84,848170.56
2024-10,EBITDA,969636.49,852766.74
2024-11,EBITDA,924471.67,872242.41
2024-12,EBITDA,965180.78,917607.17
2025-01,EBITDA,947505.14,956104.65
2025-02,EBITDA,960681.24,1004427.79
2025-03,EBITDA,756232.01,1023902.98
2025-04,EBITDA,978904.87,1062026.56
2025-05,EBITDA,1169121.58,1069647.79
2025-06,EBITDA,1053773.9,1064362.31
2025-07,EBITDA,1127827.19,1048166.97
2025-08,EBITDA,1004325.53,1041105.39
2025-09,EBITDA,1047774.68,1037183.98
2025-10,EBITDA,1039329.69,1015439.61
2025-11,EBITDA,965982.35,1069744.91
2025-12,EBITDA,1205928.4,1090938.71
2024-01,New Bookings,865513.14,913153.0
2024-02,New Bookings,865355.6,964373.59
2024-03,New Bookings,1100168.11,1029590.47
2024-04,New Bookings,1069149.78,1067949.32
2024-05,New Bookings,1111733.4,1090566.11
2024-06,New Bookings,1062834.33,1060075.65
2024-07,New Bookings,805751.77,1013052.39
