period,metric,value,budget
2024-04,Impressions,210000.0,210000.0
2024-04,Clicks,9030.0,9030.0
2024-04,Signups,1670.55,1670.55
2024-04,Conversions,375.87,375.87
2024-04,CAC,6.15,6.15
2024-04,ROAS,52.07,52.07
2024-05,Impressions,220500.0,220500.0
2024-05,Clicks,9481.5,9481.5
2024-05,Signups,1754.08,1754.08
2024-05,Conversions,394.67,394.67
2024-05,CAC,6.15,6.15
2024-05,ROAS,52.07,52.07
2024-06,Impressions,231000.0,231000.0
2024-06,Clicks,9933.0,9933.0
2024-06,Signups,1837.61,1837.61
2024-06,Conversions,413.46,413.46
2024-06,CAC,6.15,6.15
2024-06,ROAS,52.07,52.07
2024-07,Impressions,241500.0,241500.0
2024-07,Clicks,10384.5,10384.5
2024-07,Signups,1921.13,1921.13
2024-07,Conversions,432.25,432.25
2024-07,CAC,6.15,6.15
2024-07,ROAS,52.07,52.07
2024-08,Impressions,252000.0,252000.0
2024-08,Clicks,10836.0,10836.0
2024-08,Signups,2004.66,2004.66
2024-08,Conversions,451.05,451.05
2024-08,CAC,6.15,6.15
2024-08,ROAS,52.07,52.07
2024-09,Impressions,262500.0,262500.0
2024-09,Clicks,11287.5,11287.5
2024-09,Signups,2088.19,2088.19
2024-09,Conversions,469.84,469.84
2024-09,CAC,6.15,6.15
2024-09,ROAS,52.07,52.07
2024-10,Impressions,273000.0,273000.0
2024-10,Clicks,11739.0,11739.0
2024-10,Signups,2171.71,2171.71
2024-10,Conversions,488.64,488.64
2024-10,CAC,6.15,6.15
2024-10,ROAS,52.07,52.07
2024-11,Impressions,283500.0,283500.0
2024-11,Clicks,12190.5,12190.5
2024-11,Signups,2255.24,2255.24
2024-11,Conversions,507.43,507.43
2024-11,CAC,6.15,6.15
2024-11,ROAS,52.07,52.07
2024-12,Impressions,294000.0,294000.0
2024-12,Clicks,12642.0,12642.0
2024-12,Signups,2338.77,2338.77
2024-12,Conversions,526.22,526.22
2024-12,CAC,6.15,6.15
2024-12,ROAS,52.07,52.07
2025-01,Impressions,304500.0,304500.0
2025-01,Clicks,13093.5,13093.5
2025-01,Signups,2422.3,2422.3
2025-01,Conversions,545.02,545.02
2025-01,CAC,6.15,6.15
2025-01,ROAS,52.07,52.07
2025-02,Impressions,488250.0,488250.0
2025-02,Clicks,20994.75,20994.75
2025-02,Signups,4093.98,4093.98
2025-02,Conversions,921.14,921.14
2025-02,CAC,7.0,7.0
2025-02,ROAS,45.74,45.74
2025-03,Impressions,325500.0,325500.0
2025-03,Clicks,13996.5,13996.5
2025-03,Signups,2589.35,2589.35
2025-03,Conversions,582.6,582.6
2025-03,CAC,6.15,6.15
2025-03,ROAS,52.07,52.07
2025-04,Impressions,336000.0,336000.0
2025-04,Clicks,10416.0,10936.8
2025-04,Signups,1926.96,2004.04
2025-04,Conversions,433.57,459.58
2025-04,CAC,8.52,7.84
2025-04,ROAS,37.54,37.54
2025-05,Impressions,346500.0,346500.0
2025-05,Clicks,14899.5,14899.5
2025-05,Signups,2756.41,2756.41
2025-05,Conversions,620.19,620.19
2025-05,CAC,6.15,6.15
2025-05,ROAS,52.07,52.07
2025-06,Impressions,357000.0,357000.0
2025-06,Clicks,15351.0,15351.0
2025-06,Signups,2839.94,2839.94
2025-06,Conversions,638.99,638.99
2025-06,CAC,6.15,6.15
2025-06,ROAS,52.07,52.07
